School Name,Region,District,Town/City,School Type,Contact Email,Contact Phone,Latitude,Longitude
"Anlo Tech. Inst.","Volta","Anloga","Anloga","Mixed","anlotechinst@ges.gov.gh","+233 24 418 5239, +233 20 022 368","5.7936484","0.8984702"
"Ashiaman Senior High","Greater Accra","Ashiaman","Ashiaman","Mixed","ashiamanshs@ges.gov.gh","0240313002","5.6918439","-0.0257734"
"Assin State College","Central","Assin North","Assin Bereku","Mixed","assinstatecollege@gmail.com","+233 20 882 9743, +233 24 220 6063, +233 24 487 1422, +233 24 425 7955, +233 54 683 9385, +233 54 053 4088","5.8678477","-1.3389563"
"Awaso STEM Senior High","Western North","Bibiani Anhwiaso Bekwai","Awaso","Mixed","awasostem@gmail.com","0240313002","6.242526","-2.284566"
"Business Senior High, Tamale","Northern","Tamale Metro","Tamale","Mixed","bshstamale@gmail.com","020 452 8853, 037 209 3266, 037 202 2461","9.4051992","-0.8423986"
"East Legon Applied Technology Institute","Greater Accra","Accra","East Legon","Mixed","info@gtvets.gov.gh","0240313002","5.6354803","-0.1617155"
"Government Technical Institute","Greater Accra","Okaikwei South","Kaneshie-Accra","Mixed","pro@moe.gov.gh","0240313002","5.5665786","-0.2344584"
"Kikam Tech. Inst.","Western","Ellembele","Kikam","Mixed","Kimtechmail@yahoo.com","+233 54 656 1424, +233 54 220 2670, +233 24 438 0894","4.9274023","-2.3244929"
"Kumasi Girls Senior High,","Ashanti","Kumasi Metro","Abrepo","Girls","info@kumasigirlsshs.com","+233 24 284 3825","6.7272682","-1.6542739"
"O'Reilly Senior High","Greater Accra","Ledzokuku","Okpoi Gonno","Mixed","oreillyadmns@gmail.com","+233 20 607 2724, +233 20 817 7270","5.6273704","-0.1086067"
"OLA Girls Senior High, Kenyasi","Ahafo","Asutifi North","Kenyasi","Girls","office@olagirlskenyasi.edu.gh","+233 20 542 3123, +233 20 815 8867","6.9611303","-2.3697472"
"Obuasi Senior High/Tech","Ashanti","Obuasi","Obuasi","Mixed","obuasishst@ges.gov.gh","0240313002","6.211542","-1.6894045"
"Pentecost Senior High, Kumasi","Ashanti","Kumasi Metro","Breman West","Mixed","pentecostshs@gmail.com","+233 24 405 0069","6.75","-1.5"
"Presby Senior High, Osu","Greater Accra","Korle Klottey","Osu","Mixed","presecosuartistry.ediboard1957@gmail.com","+233 24 017 8674","5.5605929","-0.1824391"
"Presby Senior High, Suhum","Eastern","Suhum","Suhum","Mixed","@","+233 24 421 7546","6.035885","-0.4552751"
"Serwaa Kesse Girls Senior High","Ahafo","Tano North","Duayaw Nkwanta","Girls","serwaakessegirlsshs@ges.gov.gh","+233 24 281 9942, +233 20 815 0359, +233 24 383 2368","7.1688373","-2.1002486"
"Suhum Senior High/Tech","Eastern","Suhum","Suhum","Mixed","suhumshst@ges.gov.gh","0240313002","6.035885","-0.4552751"
"Wa Tech. Inst.","Upper West","Wa Municipal","Wa","Mixed","watechinst@ges.gov.gh","020 589 8781","10.0623261","-2.5054273"
"West Africa Senior High","Greater Accra","La Nkwantanang Madina","Adenta","Mixed","wassfwi@gmail.com","+233 24 315 3220, +233 30 222 1202","5.7042433","-0.1690967"
"Abeaseman Comm. Day Senior High","Bono East","Pru","Abease","Mixed","abeasemancommshs@ges.gov.gh","0240313002","7.9585737","-1.1802827"
"Abetifi Presby Senior High","Eastern","Kwahu East","Abetifi","Mixed","abetifipresbyshs@gmail.com","+233 24 353 3498, +233 24 450 3108, +233 30 786 5261, +233 24 465 7474","6.672433","-0.743845"
"Abor Senior High","Volta","Anlo Keta","Abor","Mixed","aborsco50@gmail.com","+233 20 827 2768","6.0625442","0.86207"
"Aburaman Senior High","Central","Abura Asebu Kwamankese","Abura Dunkwa","Mixed","aburamandata@gmail.com","+233 54 790 2506, +233 24 250 7233, +233 33 213 3785, +233 24 845 6735, +233 25 745 4351","5.3403473","-1.1712848"
"Acherensua Senior High","Ahafo","Asutifi South","Acherensua","Mixed","acherensuashs@ges.gov.gh","+233 24 827 0933","6.9723205","-2.2987924"
"Achiase Senior High","Eastern","Achiase","Achiase","Mixed","achiaseshs@ges.gov.gh","+233 24 669 2322","5.8354534","-0.9966928"
"Ada Senior High","Greater Accra","Ada East","Ada-Foah","Mixed","ada.shs@outlook.com","+233 24 915 0621, +233 24 420 3367, +233 571032163","5.5996507","-0.1134774"
"Adaklu Senior High","Volta","Adaklu","Adaklu","Mixed","adaklusec@gmail.com","+233 55 718 1799","6.5763679","0.5867124"
"Adidome Senior High","Volta","Central Tongu","Adidome","Mixed","info@adidomeshs.com","+233 24 203 7510","6.0730516","0.5031509"
"Adonten Senior High","Eastern","Akwapim South","Aburi","Mixed","adontenseniorhighschool33@yahoo.com","+233 34 209 5603, +233 24 678 3706, +233 24 418 3570","5.8474757","-0.1752664"
"Agona Fankobaa Senior High","Central","Agona West","Agona Abodom","Mixed","fankobaashs@gmail.com","+233 24 387 9998, +233 24 408 9582","5.544203","-0.836264"
"Akuapem Technical Institute","Eastern","Akwapem South","Kitase-Aburi","Mixed","jgknoltechvocinst@ges.gov.gh","0240313002","5.8135316","-0.185369"
"Amaniampong Senior High","Ashanti","Mampong","Mampong","Mixed","greatamass1965@gmail.com","+233 20 823 6380, +233 24 375 1006, +233 24 498 0591, +233 24 605 3756","7.056139","-1.40425"
"Anfoega Senior High","Volta","North Dayi","Anfoega","Mixed","anfoesec50@gmail.com","+233 20 320 4550","6.887494","0.276692"
"Anum Presby Senior High","Eastern","Asuogyaman","Anum","Mixed","ansec15@gmail.com","+233 24 454 9618, +233 55 819 5737, +233 20 550 6167","6.4934728","0.1506472"
"Apam Senior High","Central","Gomoa West","Apam","Mixed","greatapass@gmail.com","+233 24 405 8357, +233 24 497 4906, +233 551 452 934, +233 24 064 9733","5.283297","-0.737975"
"Asanteman Senior High","Ashanti","Kumasi Metro","Bantama","Mixed","asantemann@gmail.com","+233 24 420 6959, +233 322 023 108","6.7051319","-1.63486"
"Assin Manso Senior High","Central","Assin South","Assin Manso","Mixed","assin_manso@yahoo.com","+233 24 452 2626, +233 56 048 3267, +233 26 456 6901","5.5226051","-1.1654198"
"Ayanfuri Senior High","Central","Upper Denkyira West","Ayanfuri","Mixed","ayanfurishs@ges.gov.gh","+233 24 127 7750, +233 24 849 0542","5.9602024","-1.8951464"
"Bolgatanga Central Technical Institute","Upper East","Bolgatanga Municipal","Bolgatanga","Mixed","info@gtvets.gov.gh","0240313002","10.7853963","-0.8487322"
"Bosomtwe Girls STEM Senior High","Ashanti","Bosomtwe","Deduako","Girls","info@bosomtwegirlsstem.edu.gh","0240313002","6.5538385","-1.4587382"
"Bosomtwe Oyoko Comm. Senior High","Ashanti","Bosomtwe","Bosomtwe Oyoko","Mixed","bosomtweoyokocommshs@ges.gov.gh","0240313002","6.5536688","-1.5705196"
"Chemu Senior High/Tech","Greater Accra","Tema","Tema Comm 4","Mixed","chemushst@ges.gov.gh","0240313002","5.7740723","0.0048937"
"Dzodze Penyi Senior High","Volta","Ketu North","Dzodze","Mixed","dzodzeshs@gmail.com","+233 24 065 4718, +233 36 209 2710, +233 20 831 9081","6.233809","0.994012"
"Ejisu Senior High/Tech","Ashanti","Ejisu Municipal","Ejisu","Mixed","ejisushst@ges.gov.gh","0240313002","6.7139918","-1.4665782"
"Ejuraman Technical Institute","Ashanti","Ejura Sekyedumase","Ejura","Mixed","support@basic.edu.gh","0240313002","7.3846802","-1.355945"
"Forces Senior High/Tech, Burma Camp","Greater Accra","La Dade-Kotopon Municipal","Burma Camp","Mixed","forcesshs@ges.gov.gh","0240313002","5.5958417","-0.1534856"
"Ghanata Senior High","Greater Accra","Shai-Osudoku","Dodowa","Mixed","ghanatashs@gmail.com","+233 24 489 1937","5.8800281","-0.1046646"
"Gomoa Gyaman Senior High","Central","Gomoa Central","Gomoa Gyaman","Mixed","gomoagyamanshs@gmail.com","+233 24 464 3691, +233 077 77006, +233 24 093 3984, +233 24 485 5582","5.494894","-0.7643444"
"Huni Valley Senior High","Western","Prestea Huni Valley","Huni Vallley","Mixed","hunivalleyshs@ges.gov.gh","0240313002","5.5","-2.5"
"Krobea Asante Technical & Vocational Inst.","Ashanti","Sekyere East","Asokore","Mixed","katvi.edu@gmail.com","+233 24 318 3577, +233 24 402 9845","6.8449219","-1.386922"
"Mpraeso Senior High","Eastern","Kwahu South","Mpraeso","Mixed","mpassgh@gmail.com","+233 20 297 3539, +233 24 424 3228","6.596614","-0.733393"
"New Nsutam Senior High/Tech","Eastern","Fanteakwa South Municipal","Akyem Nsutam","Mixed","newnsutamshst@ges.gov.gh","0240313002","6.5","-0.5"
"Ngleshie Amanfro Senior High","Greater Accra","Ga South","Ngleshie Amanfro","Mixed","ngleshieamanfroshs@ges.gov.gh","+233 24 445 8080, +233 30 396 1819","5.5411729","-0.4036"
"Nkawie Senior High/Tech","Ashanti","Atwima Nwabiagya","Nkawie","Mixed","nkawieshst@ges.gov.gh","0240313002","6.667897","-1.809725"
"Nkoranza Senior High/Tech","Bono East","Nkoranza South","Nkoranza","Mixed","nkoranzashst@ges.gov.gh","0240313002","7.6840763","-1.6507715"
"Notre Dame Sem/ Senior High, Navrongo","Upper East","Kasena-Nankani East","Navrongo","Boys","notredamesemshs@ges.gov.gh","0240313002","10.8928117","-1.0883729"
"Odorgonno Senior High","Greater Accra","Ga Central Municipal","Awoshie","Mixed","info@ossa.edu.gh","+233 54 537 8291","5.587278","-0.2780901"
"Ofoase Senior High/Tech","Ashanti","Asante Akim South","Ofoase","Mixed","osets2015@gmail.com","0240313002","6.3913329","-1.2840249"
"Osei Kyeretwie Senior High","Ashanti","Kumasi Metro","Old Tafo - Kumasi","Mixed","info@okess.edu.gh","+233 55 384 5370","6.7341965","-1.6126943"
"Osei Tutu Senior High, Akropong","Ashanti","Atwima Nwabiagya","Akropong","Boys","otshs@gmail.com","+233 24 330 7213, +233 54 747 2237, +233 54 915 1522, +233 24 612 1103, +233 24 700 3883","6.7418404","-1.7305666"
"Oti Boateng Senior High","Eastern","New Juaben North Municipal","Koforidua","Mixed","otiboatshs@gmail.com","+233 24 438 1775","6.100334","-0.2614572"
"Oyoko Methodist Senior High","Eastern","New Juaben North Municipal","Oyoko","Mixed","omessgh@yahoo.com","+233 24 458 0242, +233 24 438 9492, +233 24 647 8092","6.1372155","-0.2882317"
"St. Margaret Mary Snr.High/Tech","Greater Accra","Accra","Dansoman","Mixed","stmargaretmaryshst@ges.gov.gh","0240313002","5.5448458","-0.2680674"
"St. Monica's Senior High, Mampong","Ashanti","Mampong","Mampong","Girls","INFO@MONICO.EDU.GH","+233 54 451 6215, +233 24 466 1618, +233 20 812 6838","7.056139","-1.40425"
"Teshie Tech. Instittute","Greater Accra","Ledzokuku","Teshie","Mixed","teshietechnicalcentre@gmail.com","+233 24 060 9557, +233 24 468 6349","5.5822343","-0.1135104"
"Tweneboa Kodua Senior High","Ashanti","Sekyere Kumawu","Kumawu","Mixed","tkshskumawu@gmail.com","+233 20 627 4796, +233 26 768 1129, +233 24 228 8840, +233 20 228 8853","6.910457","-1.277911"
"Winneba Senior High","Central","Effutu","Winneba","Mixed","winnebasecondary@yahoo.com","+233 20 812 9851, +233 33 232 2003","5.35006","-0.62134"
"Zuarungu Senior High","Upper East","Bolgatanga East","Zuarungu","Mixed","zuarungushs@ges.gov.gh","0240313002","10.7895467","-0.802708"
"Abakrampa Senior High/Tech","Central","Abura Asebu Kwamankese","Abakrampa","Mixed","infoabk@gmail.com","0240313002","5.2482441","-1.234513"
"Abeadze State College","Central","Mfantseman Municipal","Abeadze Dominase","Mixed","abeadzestatecollege@yahoo.com","+233 55 656 5091, +233 24 341 4207","5.3498444","-1.088851"
"Abetifi Tech. Inst.","Eastern","Kwahu East","Abetifi","Mixed","abetifitechinst@ges.gov.gh","+233 59 156 0513, +233 55 860 8045","6.672433","-0.743845"
"Adankwaman Senior High","Central","Assin South","Assin Darmang","Mixed","adansec1983@gmail.com","+233 24 470 3519, +233 54 857 3695, +233 24 410 5653, +233 33 219 6802, +233 54 286 0327, +233 24 988 9417","5.4554568","-1.1584836"
"Aduman Senior High","Ashanti","Afigya-Kwabre","Aduman","Mixed","adumanshs@ges.gov.gh","+233 27 7872777, +233 24 376 4865, +233 24 206 7686, +233 24 488 6614","6.826714","-1.624992"
"Adventist Senior High, Kumasi","Ashanti","Kumasi Metro","Bantama-Kumasi","Mixed","adventistkumasishs@ges.gov.gh","+233 24 321 5472, +233 20 040 6930","6.7051319","-1.63486"
"Afigyaman Senior High School","Ashanti","Afigya-Kwabre","Kyekyewere","Mixed","afigyamanshs@gmail.com","+233 244853764, +233 4 929 0303","6.9689793","-1.4437218"
"Akim Asafo Senior High","Eastern","Abuakwa South Municipal","Akim Asafo","Mixed","akimasafoshs@ges.gov.gh","+233 24 451 9535","6.1822835","-0.4658665"
"Akim Swedru Senior High","Eastern","Birim South","Akim Swedru","Mixed","akimswedrushs@ges.gov.gh","+233 24 157 5055","5.8933588","-1.0158347"
"Akome Senior High/Tech.","Volta","Ho West","Akome","Mixed","akomeshst@ges.gov.gh","0240313002","6.8144179","0.4649663"
"Amankwakrom Fisheries Agric. Tech. Inst.","Eastern","Kwahu Afram Plains North","Amankwakrom","Mixed","amankwatech97@gmail.com","+233 34 229 2470, +233 24 410 7866","7.0522203","0.0270875"
"Anlo Awomefia Senior High","Volta","Anlo Keta","Anyako","Mixed","awoamefia@gmail.com","+233 24 285 1457, +233 24 405 2957","5.9949327","0.9144465"
"Anlo Senior High","Volta","Keta Municipal","Anloga","Mixed","anlosec@yahoo.com","+233 20 816 2907, +233 24 345 6162, +233 20 816 2907","5.7936484","0.8984702"
"Annor Adjaye Senior High","Western","Jomoro","Ezilibo","Mixed","annoadjaye@gmail.com","+233 27 721 1653, +233 54 942 0024, +233 242 314 962, +233 24 352 3249","5.5","-2.5"
"Antoa Senior High","Ashanti","Kwabre East","Antoa","Mixed","antoaseniorhigh@gmail.com","+233 24 498 7344, +233 55 122 2884","6.75749","-1.5250477"
"Asare Bediako Senior High .","Ashanti","Adansi North","Akrokerri","Mixed","absecakrokerri@yahoo.com","+233 24 424 8602, +233 244990293","6.298552","-1.628858"
"Asukawkaw Senior High","Oti","Krachi East","Asukawkaw","Mixed","asukawkawshs123@gmail.com","+233 24 367 1070","7.6831274","0.3629789"
"Asuom Senior High","Eastern","Kwaebibirem","Asuom","Mixed","asuoms@yahoo.com","+233 24 461 3412, +233 20 819 4983","6.2633718","-0.8739285"
"Avatime Senior High","Volta","Ho West","Vane","Mixed","avasec1@yahoo.com","+233 24 459 2626, +233 24 525 1663","6.8235344","0.4237074"
"Awutu Winton Senior High","Central","Awutu Senya West","Awutu","Mixed","awshsteam@edp-trust.org","+233 24 472 1353","5.512649","-0.5126557"
"Axim Girls Senior High","Western","Nzema East","Axim","Girls","aximgirls2007@gmail.com","+233 24 447 9085","4.865362","-2.242169"
"Ayirebi Senior High","Eastern","Akyemansa","Ayirebi","Mixed","ayisec1992@yahoo.com","+233 54 320 0365, +233 20 195 8332","6.0864225","-1.1295503"
"Bankoman Senior High","Ashanti","Sekyere Kumawu","Banko","Mixed","shsbankoman@gmail.com","+233 244260724","6.9390364","-1.3863181"
"Bechem Presby Senior High","Ahafo","Tano South","Bechem","Mixed","bechempresecshs@gmail.com","+233 24 496 9341, +233 24 335 2590, +233 50 654 8387","7.0921604","-2.0345287"
"Benkum Senior High","Eastern","Akwapim North Municipal","Larteh-Akwapim","Mixed","benkumseniorhigh@gmail.com","+233 24 454 6520, +233 20 721 0735","5.939456","-0.0688571"
"Beposo Senior High","Ashanti","Bosomtwe","Beposo","Mixed","besecshs2017@gmail.com","+233 24 363 8700, +233 54 598 0670, +233 24 166 4797","6.9811243","-1.3523291"
"Bimbilla Senior High","Northern","Nanumba North","Bimbilla","Mixed","bimbillaseniorhigh@gmail.com","0249891741, 024 272 1179, 0244065293","8.859349","0.0557043"
"Boa-Amponsem Senior High","Central","Upper Denkyira East Municipal","Dunkwa-On-Offin","Mixed","boass.edugh@yahoo.com","+233 54 247 1208, +233 24 354 2635, +233 24 257 4715, +233 55 393 9587","5.9678765","-1.7873448"
"Bodi Senior High","Western North","Bodi","Bodi","Mixed","bodishs2@gmail.com","+233242375196","6.233618","-2.7542226"
"Bodwesango Senior High","Ashanti","Adansi North","Bodwesango","Mixed","bodwesangoshs@gmail.com","+233 203461568, +233 545173468","6.279969","-1.42176"
"Bole Senior High","Savannah","Bole","Bole","Mixed","boleshs@ges.gov.gh","+233 (0)24 238 8347, +233 (0)504817187, +233 (0)243418437","9.0370166","-2.4894104"
"Bongo Senior High","Upper East","Bongo","Bongo","Mixed","bonsec@gmail.com","024 476 8811","10.9090802","-0.8075062"
"Bonzo-Kaku Senior High","Western","Ellembele","Awiebo","Mixed","kakubonzo@yahoo.com","0208195630","5.041446","-2.4511269"
